时间	训练主题	总距离	训练内容	强度
周一	低强度长距离耐力	2400m	热身：200m夹板自由泳 	低强度（65-70%最大心率）
			主项：2000m自由泳（恒定配速）	
			放松：200m夹板自由泳	
周二	高强度间歇爆发力	1800m	热身：200m自由泳	高强度（85-95%最大心率）
			间歇：3×100m（每组分别阈值配速85%、90%、100%），循环4次，每组休息时间=每组训练时间	
			技术补偿：4×50m夹板划手+4*50m浮板打腿	
周三	节奏控制+技术打磨	1600m	热身：200m自由泳	中高强度（75-85%最大心率）
			主项：6×200m节奏自由泳（配速递减，组间休息1min）	
			技术补偿：4×50m浮板打腿+10次滚翻蹬边+10次跳发练习	
周四	低强度有氧恢复	1800m	热身：200m自由泳 	低强度（60-65%最大心率）
			主项：400m自由泳（恒定配速）+300m蛙泳/仰泳+ 400m自由泳放松+300m蛙泳/仰泳	
			技术补偿：4*50m浮板打腿	
周五	混氧阈值	1500m	热身：200m自由泳	中高强度（80-90%最大心率）
			混养阈值：1*400m自由泳（阈值配速PB+10s，结束休息2min）+2*200m自由泳（阈值配速PB+5s，组间休息1min，结束休息2min）+4*100m自由泳全力游（全力冲，组间休息45s）	
			放松：100m放松自由泳	
周六	综合强度测试	1600m	热身：200m自由泳	高强度（85-95%最大心率）
			主项：400m*3全力游（组间休息3min，记录每组数据）	
			技术补偿：4×50m自由泳（技术/节奏交替）	
